ID,sCF,sCF_N,sDF1,sDF1_N,sDF2,sDF2_N,sN,Length
223,33.86,46574.21,32.89,45703.55,33.25,46240.69,138518.441,0.0222287
224,34.84,48660.1,33.04,46409.96,32.12,45181.47,140251.536,0.0632732
225,33.64,46834.44,32.61,45520.52,33.74,46597.97,138952.928,0.0233769
226,33.47,45299.32,33.91,45940.95,32.62,43692.86,134933.125,0.00528029
227,33.83,46247.98,32.06,43463.5,34.11,45978.54,135690.018,0.0119892
228,34.97,47044.32,32.51,43171.21,32.52,43886.38,134101.898,0.0425411
229,38.36,52017.52,31.02,42495.36,30.62,41270.1,135782.974,0.0786026
230,34.48,46159.35,32.94,44375.03,32.58,43459.55,133993.93,0.0255344
231,36.66,46934.63,32.47,41811.2,30.87,39721.11,128466.94,0.0346388
232,36.6,47611.37,34.34,45346.92,29.06,38712.63,131670.923,0.0708038
233,32.12,41314.68,37.44,47305.9,30.44,38723.97,127344.546,0.00583218
234,42.54,57546.9,28.41,39577.21,29.06,39922.78,137046.886,0.121249
235,33.86,42546.94,33.08,41756.6,33.06,41508.38,125811.919,0.00612641
