ID,sCF,sCF_N,sDF1,sDF1_N,sDF2,sDF2_N,sN,Length
228,39.07,114.06,28.29,84.52,32.35,94.24,292.806,0.00632759
229,53.27,818.84,23.94,340.18,22.19,321.67,1480.69,0.055133
230,48.49,595.64,27.71,342.33,22.7,281.47,1219.436,0.0225157
231,46.19,778.85,28.83,498.18,24.99,427.12,1704.156,0.00818521
232,35.36,366.23,27.92,288.22,35.51,359.49,1013.944,0.00693869
233,33.23,256.14,33.07,251.95,29.7,227.67,735.755,0.00784975
234,40.85,301.21,27.34,202.03,28.61,211.77,715.005,0.0154948
235,63.91,1341.64,17.78,361,17.81,368.7,2071.343,0.0556524
236,73.63,343.08,12.64,57.66,13.72,62.91,463.648,0.228707
237,44.16,170.68,22.19,87.04,33.64,132.8,390.518,0.0322988
